Item Description,Posting Date,Product_Amount
DOC - COMMERCIAL BROILERS,2021-09-02 00:00:00,3734505
DOC - COMMERCIAL BROILERS,2021-12-28 00:00:00,4679348.8200000003
DOC - COMMERCIAL BROILERS,2022-02-15 00:00:00,8191439.959999999
DOC - KEN BRO,2021-09-04 00:00:00,1369500.01
DOC - KEN BRO,2021-12-30 00:00:00,273100
DOC - KEN BRO,2022-01-05 00:00:00,1204824.3700000001
DOC - COMMERCIAL LAYERS,2022-01-10 00:00:00,2009550
DOC - KEN BRO,2021-09-27 00:00:00,333165
DOC - COMMERCIAL BROILERS,2021-10-15 00:00:00,7132201.8100000005
DOC - COMMERCIAL BROILERS,2021-10-21 00:00:00,8883527.0099999998
DOC - COMMERCIAL LAYERS,2022-02-10 00:00:00,3246850.0499999993
DOC - KEN BRO,2022-02-17 00:00:00,2060165.03
DOC - COMMERCIAL LAYERS,2021-11-02 00:00:00,786760
DOC - COMMERCIAL LAYERS,2021-12-21 00:00:00,610373.22999999998
DOC - KEN BRO,2022-01-25 00:00:00,448500
DOC - COMMERCIAL BROILERS,2022-01-03 00:00:00,4601073
DOC - COMMERCIAL BROILERS,2022-02-21 00:00:00,6032265.0599999996
DOC - COMMERCIAL LAYERS,2021-11-22 00:00:00,1867050
DOC - KEN BRO,2022-02-23 00:00:00,1359461.95
DOC - COMMERCIAL LAYERS,2021-09-20 00:00:00,2348900
DOC - COMMERCIAL LAYERS,2021-11-08 00:00:00,2590475
DOC - COMMERCIAL LAYERS,2021-12-29 00:00:00,3122265.0199999996
DOC - COMMERCIAL LAYERS,2022-01-04 00:00:00,1024550
DOC - KEN BRO,2022-01-11 00:00:00,1004200
DOC - COMMERCIAL BROILERS,2021-10-09 00:00:00,8282531.0299999993
DOC - COMMERCIAL BROILERS,2021-11-27 00:00:00,8529689.0599999987
DOC - COMMERCIAL LAYERS,2021-11-16 00:00:00,2378290.02
DOC - KEN BRO,2021-11-23 00:00:00,364100.48000000004
DOC - COMMERCIAL COCKS,2021-11-25 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL LAYERS,2022-02-22 00:00:00,1568350.21
DOC - COMMERCIAL BROILERS,2021-12-17 00:00:00,5397494.1500000004
DOC - COMMERCIAL LAYERS,2022-01-01 00:00:00,1617330
DOC - COMMERCIAL COCKS,2022-01-19 00:00:00,0.01
DOC - COMMERCIAL LAYERS,2021-09-29 00:00:00,2558443.8599999999
DOC - KEN BRO,2021-12-22 00:00:00,567020
DOC - COMMERCIAL LAYERS,2022-01-24 00:00:00,2833450
DOC - COMMERCIAL LAYERS,2021-09-06 00:00:00,2399735
DOC - KEN BRO,2021-11-29 00:00:00,266245.03000000003
DOC - COMMERCIAL BROILERS,2022-02-01 00:00:00,6921369.0600000005
DOC - COMMERCIAL LAYERS,2022-02-16 00:00:00,1887675.04
DOC - KEN BRO,2021-11-06 00:00:00,1368150.04
DOC - KEN BRO,2021-10-14 00:00:00,1355825
DOC - KEN BRO,2021-09-21 00:00:00,1703099.9999999998
DOC - COMMERCIAL LAYERS,2021-10-16 00:00:00,4044570.3199999998
DOC - COMMERCIAL BROILERS,2021-12-11 00:00:00,9077583
DOC - COMMERCIAL BROILERS,2021-09-08 00:00:00,4536678.1500000004
DOC - KEN BRO,2021-12-16 00:00:00,1114110.03
DOC - COMMERCIAL LAYERS,2022-01-18 00:00:00,2774462.1699999999
DOC - COMMERCIAL BROILERS,2022-02-09 00:00:00,2491867.0300000003
DOC - COMMERCIAL LAYERS,2021-12-01 00:00:00,1876155.1100000001
DOC - KEN BRO,2022-02-14 00:00:00,482050.02000000002
DOC - COMMERCIAL LAYERS,2021-12-15 00:00:00,2028058.2
DOC - KEN BRO,2022-01-31 00:00:00,1031350.01
DOC - COMMERCIAL BROILERS,2021-09-16 00:00:00,7036094
DOC - COMMERCIAL BROILERS,2021-11-01 00:00:00,5960433.0199999996
DOC - COMMERCIAL LAYERS,2021-12-09 00:00:00,2403175
DOC - COMMERCIAL COCKS,2021-10-28 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL LAYERS,2021-09-17 00:00:00,3711300.3500000001
DOC - KEN BRO,2021-12-10 00:00:00,658415.05000000005
DOC - KEN BRO,2021-09-07 00:00:00,1572100
DOC - COMMERCIAL COCKS,2021-09-09 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2022-01-20 00:00:00,6317961.0099999998
DOC - KEN BRO,2021-09-30 00:00:00,1090020
DOC - COMMERCIAL COCKS,2021-10-02 00:00:00,1500
DOC - COMMERCIAL BROILERS,2022-02-12 00:00:00,7735927.2499999981
DOC - COMMERCIAL BROILERS,2021-09-22 00:00:00,2726613.0800000001
DOC - COMMERCIAL BROILERS,2021-09-28 00:00:00,6332290.0099999998
DOC - COMMERCIAL LAYERS,2021-10-07 00:00:00,2556810
DOC - COMMERCIAL LAYERS,2021-10-13 00:00:00,3950282.9299999997
DOC - KEN BRO,2021-10-20 00:00:00,1092766.1400000001
DOC - COMMERCIAL BROILERS,2021-12-08 00:00:00,3093626.3200000003
DOC - COMMERCIAL LAYERS,2021-10-30 00:00:00,4969300.0399999991
DOC - COMMERCIAL LAYERS,2021-11-05 00:00:00,6606009.9199999999
DOC - COMMERCIAL LAYERS,2021-12-18 00:00:00,2709735.1099999994
DOC - KEN BRO,2022-01-22 00:00:00,932075.02000000002
DOC - KEN BRO,2022-01-28 00:00:00,779986.27000000002
DOC - KEN BRO,2021-09-01 00:00:00,2294340.6200000001
DOC - COMMERCIAL BROILERS,2021-11-10 00:00:00,4173276.4699999997
DOC - COMMERCIAL LAYERS,2021-11-25 00:00:00,4006960.0299999993
DOC - COMMERCIAL BROILERS,2022-01-26 00:00:00,9873215.7199999988
DOC - COMMERCIAL LAYERS,2022-02-07 00:00:00,2503900
DOC - KEN BRO,2021-09-24 00:00:00,1238811.29
DOC - COMMERCIAL BROILERS,2021-10-18 00:00:00,7719626.0099999998
DOC - KEN BRO,2021-11-12 00:00:00,509270.25
DOC - COMMERCIAL BROILERS,2021-12-31 00:00:00,8237810.0699999984
DOC - COMMERCIAL BROILERS,2022-02-18 00:00:00,7701874.9499999993
DOC - KEN BRO,2022-01-08 00:00:00,962955.03000000003
DOC - COMMERCIAL LAYERS,2022-01-07 00:00:00,3189201.1199999992
DOC - COMMERCIAL LAYERS,2021-09-23 00:00:00,2837820.2400000002
DOC - COMMERCIAL LAYERS,2021-11-19 00:00:00,2754990
DOC - KEN BRO,2021-11-20 00:00:00,1403224.55
DOC - KEN BRO,2021-12-02 00:00:00,476850.33999999997
DOC - COMMERCIAL BROILERS,2021-10-12 00:00:00,6798877
DOC - COMMERCIAL BROILERS,2021-11-18 00:00:00,6045107
DOC - COMMERCIAL BROILERS,2021-11-30 00:00:00,7592090.7300000004
DOC - COMMERCIAL BROILERS,2022-01-06 00:00:00,7594694.0199999996
DOC - KEN BRO,2021-10-08 00:00:00,1246152.29
DOC - COMMERCIAL COCKS,2022-01-10 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-11-26 00:00:00,991705.55000000005
DOC - COMMERCIAL LAYERS,2022-02-19 00:00:00,632730.03000000003
DOC - COMMERCIAL BROILERS,2021-10-06 00:00:00,6835405.0199999996
DOC - COMMERCIAL BROILERS,2021-11-24 00:00:00,4434637.29
DOC - COMMERCIAL BROILERS,2022-01-12 00:00:00,6520197.75
